id,name_ar,name_en,price_omr,discount_price_omr,status,images,short_desc_ar,short_desc_en,long_desc_ar,long_desc_en,platform,active,options
crew1,حزمة كرو الحزمة الشهرية,Fortnite Crew,5.5,3,sale,prod_crew.jpg,الحزمة الشهرية في حسابك الخاص,Monthly Fortnite Crew subscription.,"الحزمة الشهرية تشمل :
سكن حصري 
1000 فيبوكس
🎟 4 باسات دفعة وحدة:
بتل باس
باس OG
باس Lego
موسيقى فورتنايت باس

طريقة الشحن:

1. عن طريق حساب xbox يكون مربوط في حسابك 
2. عن طريق حساب ابك جيمز

","Monthly subscription including exclusive skin, battle pass, and 1000 V-Bucks every month.",PC / PS / Xbox,1,شحن عن طريق اكسبوكس:3|شحن عن طريق ابك جيمز:3.5
vbucks,شحن فيبوكس,vbucks topup,,,sale,prod_vbucks.png,,cheap vbucks prices,"طريقة الشحن : حساب اكسبوكس مربوط في حسابك الابك 

يوجد طريقتين للشحن 

1.شحن في حسابك الشخصي مباشرة عن طريق حساب اكسبوكس المرتبط في حسابك الابك
2.انشاء حساب جديد لك فيه الفيبوكس وتقوم باهداء نفسك من الحساب الجديد
نستخدم الطريقة الثانية في حالة عدم التمكن من الشحن في الحساب الشخصي 


طريقة الشحن نظامية بالكامل ولا يوجد بها أي مشاكل او سحب 
ضمان كامل شامل كل شي 

",Top-up Method: Xbox account linked to your Epic account,PC / PS / Xbox,1,2800vb:7.5|5000vb:11.5|7800vb:18.5|13500vb:26
Chill Vibez Pack,Chill Vibez Pack,,2,,sale,https://cdn1.epicgames.com/offer/fn/EN_S28_ChillVibezPack_EGS_Launcher_2560x1440_2560x1440-f30569e5f14d89af51da037eee427027,الحزمة عبارة عن كود تشحنه في حسابك الشخصي,redeem to your account,"طريقة تفعيل كود حزمة فورت نايت (Xbox):

أولاً: ربط حساب Xbox مع Epic Games

1. سجل دخولك في موقع Epic Games:
www.epicgames.com


2. من الإعدادات > التطبيقات والحسابات.


3. في صفحة الربط، اختر Xbox واضغط ""ربط"".

إذا عندك حساب Xbox، سجل دخول وبيتم الربط.

إذا ما عندك حساب، سوه من هنا:
https://signup.live.com/signup

مهم: بعد إنشاء الحساب، تأكد إنك تكمل التسجيل لين يطلب منك تختار اسم مستخدم (Gamertag).

بعدها ارجع لـ Epic Games واضغط ""ربط"" مره ثانية.



4. تأكد إنه طلع لك حسابك مربوط في قائمة الحسابات.



➖➖➖➖➖➖➖

ثانياً: تفعيل الكود (اختر حسب نوع الكود)

إذا الكود أرجنتيني:

1. ادخل:
https://account.microsoft.com/profile#main-content-landing-react
وغيّر الدولة إلى Argentina


2. شغّل VPN على الأرجنتين (حمل برنامج Octohide).


3. ادخل على هذا الرابط وفعّل الكود:
https://www.xbox.com/es-AR/redeem



إذا الكود من جنوب أفريقيا:

1. ادخل:
https://account.microsoft.com/profile#main-content-landing-react
وغيّر الدولة إلى United States


2. شغّل VPN على جنوب أفريقيا (حمل برنامج Octohide)


3. ادخل على هذا الرابط وفعّل الكود:
https://www.xbox.com/en-US/redeem



➖➖➖➖➖➖➖

ثالثاً: تفعيل المشتريات (إذا ما ظهرت الأغراض)

1. شغّل VPN (أي دولة).


2. ادخل على Xbox Cloud Gaming:
https://www.xbox.com/en-us/play


3. سجل دخول بنفس حساب Xbox وشغّل Fortnite.



وخلاص، بتنزل الأغراض في حسابك.
شكراً لك!",,,,
Voidlands Exile Quest Pack,Voidlands Exile Quest Pack,,3,,sale,https://cdn1.epicgames.com/offer/fn/EN_S28_VoidlandsExileQuestPack_EGS_Launcher__2560x1440_2560x1440-a0752dada9b37c8e847be1d69a25cb69,الحزمة عبارة عن كود تشحنه في حسابك الشخصي,redeem to your account,"طريقة تفعيل كود حزمة فورت نايت (Xbox):

أولاً: ربط حساب Xbox مع Epic Games

1. سجل دخولك في موقع Epic Games:
www.epicgames.com


2. من الإعدادات > التطبيقات والحسابات.


3. في صفحة الربط، اختر Xbox واضغط ""ربط"".

إذا عندك حساب Xbox، سجل دخول وبيتم الربط.

إذا ما عندك حساب، سوه من هنا:
https://signup.live.com/signup

مهم: بعد إنشاء الحساب، تأكد إنك تكمل التسجيل لين يطلب منك تختار اسم مستخدم (Gamertag).

بعدها ارجع لـ Epic Games واضغط ""ربط"" مره ثانية.



4. تأكد إنه طلع لك حسابك مربوط في قائمة الحسابات.



➖➖➖➖➖➖➖

ثانياً: تفعيل الكود (اختر حسب نوع الكود)

إذا الكود أرجنتيني:

1. ادخل:
https://account.microsoft.com/profile#main-content-landing-react
وغيّر الدولة إلى Argentina


2. شغّل VPN على الأرجنتين (حمل برنامج Octohide).


3. ادخل على هذا الرابط وفعّل الكود:
https://www.xbox.com/es-AR/redeem



إذا الكود من جنوب أفريقيا:

1. ادخل:
https://account.microsoft.com/profile#main-content-landing-react
وغيّر الدولة إلى United States


2. شغّل VPN على جنوب أفريقيا (حمل برنامج Octohide)


3. ادخل على هذا الرابط وفعّل الكود:
https://www.xbox.com/en-US/redeem



➖➖➖➖➖➖➖

ثالثاً: تفعيل المشتريات (إذا ما ظهرت الأغراض)

1. شغّل VPN (أي دولة).


2. ادخل على Xbox Cloud Gaming:
https://www.xbox.com/en-us/play


3. سجل دخول بنفس حساب Xbox وشغّل Fortnite.



وخلاص، بتنزل الأغراض في حسابك.
شكراً لك!",,,,
Shaka Surfin' Pack,Shaka Surfin' Pack,,2.5,,sale,https://cdn1.epicgames.com/offer/fn/EN_FNECO_39-00_RMT_ShakaSurfinPack_BRStarter_EGS_Landscape_2560x1440_2560x1440-88e44e1b59658b3c95ff2b958049edf4,الحزمة عبارة عن كود تشحنه في حسابك الشخصي,redeem to your account,"طريقة تفعيل كود حزمة فورت نايت (Xbox):

أولاً: ربط حساب Xbox مع Epic Games

1. سجل دخولك في موقع Epic Games:
www.epicgames.com


2. من الإعدادات > التطبيقات والحسابات.


3. في صفحة الربط، اختر Xbox واضغط ""ربط"".

إذا عندك حساب Xbox، سجل دخول وبيتم الربط.

إذا ما عندك حساب، سوه من هنا:
https://signup.live.com/signup

مهم: بعد إنشاء الحساب، تأكد إنك تكمل التسجيل لين يطلب منك تختار اسم مستخدم (Gamertag).

بعدها ارجع لـ Epic Games واضغط ""ربط"" مره ثانية.



4. تأكد إنه طلع لك حسابك مربوط في قائمة الحسابات.



➖➖➖➖➖➖➖

ثانياً: تفعيل الكود (اختر حسب نوع الكود)

إذا الكود أرجنتيني:

1. ادخل:
https://account.microsoft.com/profile#main-content-landing-react
وغيّر الدولة إلى Argentina


2. شغّل VPN على الأرجنتين (حمل برنامج Octohide).


3. ادخل على هذا الرابط وفعّل الكود:
https://www.xbox.com/es-AR/redeem



إذا الكود من جنوب أفريقيا:

1. ادخل:
https://account.microsoft.com/profile#main-content-landing-react
وغيّر الدولة إلى United States


2. شغّل VPN على جنوب أفريقيا (حمل برنامج Octohide)


3. ادخل على هذا الرابط وفعّل الكود:
https://www.xbox.com/en-US/redeem



➖➖➖➖➖➖➖

ثالثاً: تفعيل المشتريات (إذا ما ظهرت الأغراض)

1. شغّل VPN (أي دولة).


2. ادخل على Xbox Cloud Gaming:
https://www.xbox.com/en-us/play


3. سجل دخول بنفس حساب Xbox وشغّل Fortnite.



وخلاص، بتنزل الأغراض في حسابك.
شكراً لك!",,,,
Gilded Elites Pack,Gilded Elites Pack,,3,,sale,https://cdn1.epicgames.com/offer/fn/EN_S28_GildedElitesPack_EGS_Launcher_2560x1440_2560x1440-4d642ed71c80556d2fa87264453647a7,الحزمة عبارة عن كود تشحنه في حسابك الشخصي,redeem to your account,"طريقة تفعيل كود حزمة فورت نايت (Xbox):

أولاً: ربط حساب Xbox مع Epic Games

1. سجل دخولك في موقع Epic Games:
www.epicgames.com


2. من الإعدادات > التطبيقات والحسابات.


3. في صفحة الربط، اختر Xbox واضغط ""ربط"".

إذا عندك حساب Xbox، سجل دخول وبيتم الربط.

إذا ما عندك حساب، سوه من هنا:
https://signup.live.com/signup

مهم: بعد إنشاء الحساب، تأكد إنك تكمل التسجيل لين يطلب منك تختار اسم مستخدم (Gamertag).

بعدها ارجع لـ Epic Games واضغط ""ربط"" مره ثانية.



4. تأكد إنه طلع لك حسابك مربوط في قائمة الحسابات.



➖➖➖➖➖➖➖

ثانياً: تفعيل الكود (اختر حسب نوع الكود)

إذا الكود أرجنتيني:

1. ادخل:
https://account.microsoft.com/profile#main-content-landing-react
وغيّر الدولة إلى Argentina


2. شغّل VPN على الأرجنتين (حمل برنامج Octohide).


3. ادخل على هذا الرابط وفعّل الكود:
https://www.xbox.com/es-AR/redeem



إذا الكود من جنوب أفريقيا:

1. ادخل:
https://account.microsoft.com/profile#main-content-landing-react
وغيّر الدولة إلى United States


2. شغّل VPN على جنوب أفريقيا (حمل برنامج Octohide)


3. ادخل على هذا الرابط وفعّل الكود:
https://www.xbox.com/en-US/redeem



➖➖➖➖➖➖➖

ثالثاً: تفعيل المشتريات (إذا ما ظهرت الأغراض)

1. شغّل VPN (أي دولة).


2. ادخل على Xbox Cloud Gaming:
https://www.xbox.com/en-us/play


3. سجل دخول بنفس حساب Xbox وشغّل Fortnite.



وخلاص، بتنزل الأغراض في حسابك.
شكراً لك!",,,,
Rogue Scout Pack,Rogue Scout Pack,,3.5,,sale,https://cdn1.epicgames.com/offer/fn/EN_S28_RogueScoutPack_EGS_Launcher__2560x1440_2560x1440-348bf330d4eacc413de50d9211f87a96,الحزمة عبارة عن كود تشحنه في حسابك الشخصي,redeem to your account,"طريقة تفعيل كود حزمة فورت نايت (Xbox):

أولاً: ربط حساب Xbox مع Epic Games

1. سجل دخولك في موقع Epic Games:
www.epicgames.com


2. من الإعدادات > التطبيقات والحسابات.


3. في صفحة الربط، اختر Xbox واضغط ""ربط"".

إذا عندك حساب Xbox، سجل دخول وبيتم الربط.

إذا ما عندك حساب، سوه من هنا:
https://signup.live.com/signup

مهم: بعد إنشاء الحساب، تأكد إنك تكمل التسجيل لين يطلب منك تختار اسم مستخدم (Gamertag).

بعدها ارجع لـ Epic Games واضغط ""ربط"" مره ثانية.



4. تأكد إنه طلع لك حسابك مربوط في قائمة الحسابات.



➖➖➖➖➖➖➖

ثانياً: تفعيل الكود (اختر حسب نوع الكود)

إذا الكود أرجنتيني:

1. ادخل:
https://account.microsoft.com/profile#main-content-landing-react
وغيّر الدولة إلى Argentina


2. شغّل VPN على الأرجنتين (حمل برنامج Octohide).


3. ادخل على هذا الرابط وفعّل الكود:
https://www.xbox.com/es-AR/redeem



إذا الكود من جنوب أفريقيا:

1. ادخل:
https://account.microsoft.com/profile#main-content-landing-react
وغيّر الدولة إلى United States


2. شغّل VPN على جنوب أفريقيا (حمل برنامج Octohide)


3. ادخل على هذا الرابط وفعّل الكود:
https://www.xbox.com/en-US/redeem



➖➖➖➖➖➖➖

ثالثاً: تفعيل المشتريات (إذا ما ظهرت الأغراض)

1. شغّل VPN (أي دولة).


2. ادخل على Xbox Cloud Gaming:
https://www.xbox.com/en-us/play


3. سجل دخول بنفس حساب Xbox وشغّل Fortnite.



وخلاص، بتنزل الأغراض في حسابك.
شكراً لك!",,,,
Bee Positive Pack,Bee Positive Pack,,4,,sale,https://cdn1.epicgames.com/offer/fn/EN_FNECO_37-00_BeePositivePack_EGS_Landscape_2560x1440_2560x1440-5077a4724e91c565e508470e818c9cd7,الحزمة عبارة عن كود تشحنه في حسابك الشخصي,redeem to your account,"طريقة تفعيل كود حزمة فورت نايت (Xbox):

أولاً: ربط حساب Xbox مع Epic Games

1. سجل دخولك في موقع Epic Games:
www.epicgames.com


2. من الإعدادات > التطبيقات والحسابات.


3. في صفحة الربط، اختر Xbox واضغط ""ربط"".

إذا عندك حساب Xbox، سجل دخول وبيتم الربط.

إذا ما عندك حساب، سوه من هنا:
https://signup.live.com/signup

مهم: بعد إنشاء الحساب، تأكد إنك تكمل التسجيل لين يطلب منك تختار اسم مستخدم (Gamertag).

بعدها ارجع لـ Epic Games واضغط ""ربط"" مره ثانية.



4. تأكد إنه طلع لك حسابك مربوط في قائمة الحسابات.



➖➖➖➖➖➖➖

ثانياً: تفعيل الكود (اختر حسب نوع الكود)

إذا الكود أرجنتيني:

1. ادخل:
https://account.microsoft.com/profile#main-content-landing-react
وغيّر الدولة إلى Argentina


2. شغّل VPN على الأرجنتين (حمل برنامج Octohide).


3. ادخل على هذا الرابط وفعّل الكود:
https://www.xbox.com/es-AR/redeem



إذا الكود من جنوب أفريقيا:

1. ادخل:
https://account.microsoft.com/profile#main-content-landing-react
وغيّر الدولة إلى United States


2. شغّل VPN على جنوب أفريقيا (حمل برنامج Octohide)


3. ادخل على هذا الرابط وفعّل الكود:
https://www.xbox.com/en-US/redeem



➖➖➖➖➖➖➖

ثالثاً: تفعيل المشتريات (إذا ما ظهرت الأغراض)

1. شغّل VPN (أي دولة).


2. ادخل على Xbox Cloud Gaming:
https://www.xbox.com/en-us/play


3. سجل دخول بنفس حساب Xbox وشغّل Fortnite.



وخلاص، بتنزل الأغراض في حسابك.
شكراً لك!",,,,
Raptor Royale Pack,Raptor Royale Pack,,4,,sale,https://cdn1.epicgames.com/offer/fn/EN_FNECO_34-00_RMT_ReconRaptorPack_EGS_Landscape_2560x1440_2560x1440-fc9d0b07f94c731f9c471f4a824d3cc1,الحزمة عبارة عن كود تشحنه في حسابك الشخصي,redeem to your account,"طريقة تفعيل كود حزمة فورت نايت (Xbox):

أولاً: ربط حساب Xbox مع Epic Games

1. سجل دخولك في موقع Epic Games:
www.epicgames.com


2. من الإعدادات > التطبيقات والحسابات.


3. في صفحة الربط، اختر Xbox واضغط ""ربط"".

إذا عندك حساب Xbox، سجل دخول وبيتم الربط.

إذا ما عندك حساب، سوه من هنا:
https://signup.live.com/signup

مهم: بعد إنشاء الحساب، تأكد إنك تكمل التسجيل لين يطلب منك تختار اسم مستخدم (Gamertag).

بعدها ارجع لـ Epic Games واضغط ""ربط"" مره ثانية.



4. تأكد إنه طلع لك حسابك مربوط في قائمة الحسابات.



➖➖➖➖➖➖➖

ثانياً: تفعيل الكود (اختر حسب نوع الكود)

إذا الكود أرجنتيني:

1. ادخل:
https://account.microsoft.com/profile#main-content-landing-react
وغيّر الدولة إلى Argentina


2. شغّل VPN على الأرجنتين (حمل برنامج Octohide).


3. ادخل على هذا الرابط وفعّل الكود:
https://www.xbox.com/es-AR/redeem



إذا الكود من جنوب أفريقيا:

1. ادخل:
https://account.microsoft.com/profile#main-content-landing-react
وغيّر الدولة إلى United States


2. شغّل VPN على جنوب أفريقيا (حمل برنامج Octohide)


3. ادخل على هذا الرابط وفعّل الكود:
https://www.xbox.com/en-US/redeem



➖➖➖➖➖➖➖

ثالثاً: تفعيل المشتريات (إذا ما ظهرت الأغراض)

1. شغّل VPN (أي دولة).


2. ادخل على Xbox Cloud Gaming:
https://www.xbox.com/en-us/play


3. سجل دخول بنفس حساب Xbox وشغّل Fortnite.



وخلاص، بتنزل الأغراض في حسابك.
شكراً لك!",,,,
Graffiti Revolution Pack,Graffiti Revolution Pack,,4,,sale,https://cdn1.epicgames.com/offer/fn/EN_FNECO35-00_RMTGraffitiRevolutionPack_EGS_Landscape_2560x1440_2560x1440-dd7a53172e678fd96e43edc4bdbd29fe,الحزمة عبارة عن كود تشحنه في حسابك الشخصي,redeem to your account,"طريقة تفعيل كود حزمة فورت نايت (Xbox):

أولاً: ربط حساب Xbox مع Epic Games

1. سجل دخولك في موقع Epic Games:
www.epicgames.com


2. من الإعدادات > التطبيقات والحسابات.


3. في صفحة الربط، اختر Xbox واضغط ""ربط"".

إذا عندك حساب Xbox، سجل دخول وبيتم الربط.

إذا ما عندك حساب، سوه من هنا:
https://signup.live.com/signup

مهم: بعد إنشاء الحساب، تأكد إنك تكمل التسجيل لين يطلب منك تختار اسم مستخدم (Gamertag).

بعدها ارجع لـ Epic Games واضغط ""ربط"" مره ثانية.



4. تأكد إنه طلع لك حسابك مربوط في قائمة الحسابات.



➖➖➖➖➖➖➖

ثانياً: تفعيل الكود (اختر حسب نوع الكود)

إذا الكود أرجنتيني:

1. ادخل:
https://account.microsoft.com/profile#main-content-landing-react
وغيّر الدولة إلى Argentina


2. شغّل VPN على الأرجنتين (حمل برنامج Octohide).


3. ادخل على هذا الرابط وفعّل الكود:
https://www.xbox.com/es-AR/redeem



إذا الكود من جنوب أفريقيا:

1. ادخل:
https://account.microsoft.com/profile#main-content-landing-react
وغيّر الدولة إلى United States


2. شغّل VPN على جنوب أفريقيا (حمل برنامج Octohide)


3. ادخل على هذا الرابط وفعّل الكود:
https://www.xbox.com/en-US/redeem



➖➖➖➖➖➖➖

ثالثاً: تفعيل المشتريات (إذا ما ظهرت الأغراض)

1. شغّل VPN (أي دولة).


2. ادخل على Xbox Cloud Gaming:
https://www.xbox.com/en-us/play


3. سجل دخول بنفس حساب Xbox وشغّل Fortnite.



وخلاص، بتنزل الأغراض في حسابك.
شكراً لك!",,,,
